Date,Q
Jan-85,7.258064516
Feb-85,5.214285714
Mar-85,6.35483871
Apr-85,8.566666667
May-85,6.064516129
Jun-85,5.466666667
Jul-85,4.290322581
Aug-85,4
Sep-85,3.533333333
Oct-85,3.387096774
Nov-85,4.233333333
Dec-85,5.290322581
Jan-86,8.419354839
Feb-86,4.392857143
Mar-86,7.935483871
Apr-86,7.266666667
May-86,5.516129032
Jun-86,5.966666667
Jul-86,3.419354839
Aug-86,3.709677419
Sep-86,4.633333333
Oct-86,6.161290323
Nov-86,5.733333333
Dec-86,6.935483871
Jan-87,6.35483871
Feb-87,6.357142857
Mar-87,9
Apr-87,4.833333333
May-87,4.580645161
Jun-87,6.633333333
Jul-87,6.419354839
Aug-87,5.419354839
Sep-87,4.866666667
Oct-87,6.258064516
Nov-87,8.566666667
Dec-87,5.612903226
Jan-88,8.548387097
Feb-88,8.724137931
Mar-88,12.93548387
Apr-88,6.233333333
May-88,6.35483871
Jun-88,4.8
Jul-88,7.258064516
Aug-88,5.516129032
Sep-88,6.3
Oct-88,7.451612903
Nov-88,5.866666667
Dec-88,8.64516129
Jan-89,6.258064516
Feb-89,6.5
Mar-89,8.193548387
Apr-89,9.166666667
May-89,5.225806452
Jun-89,5.566666667
Jul-89,6.064516129
Aug-89,7.064516129
Sep-89,7.1
Oct-89,5.935483871
Nov-89,5.033333333
Dec-89,6.548387097
Jan-90,6.483870968
Feb-90,8
Mar-90,6.225806452
Apr-90,5.066666667
May-90,4.225806452
Jun-90,5.2
Jul-90,4.967741935
Aug-90,5.548387097
Sep-90,5.766666667
Oct-90,5.741935484
Nov-90,5.533333333
Dec-90,6.225806452
Jan-91,8.35483871
Feb-91,5.678571429
Mar-91,5.387096774
Apr-91,4.633333333
May-91,4.774193548
Jun-91,4.866666667
Jul-91,4.967741935
Aug-91,2.419354839
Sep-91,3.033333333
Oct-91,3.935483871
Nov-91,6.8
Dec-91,6.161290323
Jan-92,4.419354839
Feb-92,5.034482759
Mar-92,5.870967742
Apr-92,4.866666667
May-92,4.064516129
Jun-92,5.033333333
Jul-92,4.387096774
Aug-92,6.258064516
Sep-92,4.466666667
Oct-92,5.064516129
Nov-92,6.233333333
Dec-92,6.35483871
Jan-93,6.903225806
Feb-93,5.035714286
Mar-93,4.225806452
Apr-93,4.233333333
May-93,3.838709677
Jun-93,4
Jul-93,4.677419355
Aug-93,4.064516129
Sep-93,5.6
Oct-93,5.935483871
Nov-93,4.733333333
Dec-93,10.70967742
Jan-94,9.35483871
Feb-94,5.5
Mar-94,7.064516129
Apr-94,6.266666667
May-94,4.322580645
Jun-94,4.766666667
Jul-94,5.096774194
Aug-94,6.064516129
Sep-94,7.2
Oct-94,5.677419355
Nov-94,5.466666667
Dec-94,7.032258065
Jan-95,10.77419355
Feb-95,9.607142857
Mar-95,7.387096774
Apr-95,6.3
May-95,5.451612903
Jun-95,5.5
Jul-95,4.677419355
Aug-95,6.838709677
Sep-95,6.9
Oct-95,5.193548387
Nov-95,5.366666667
Dec-95,5.870967742
Jan-96,4.032258065
Feb-96,5.379310345
Mar-96,3.806451613
Apr-96,3.033333333
May-96,3.548387097
Jun-96,3.166666667
Jul-96,4.741935484
Aug-96,8.967741935
Sep-96,6.4
Oct-96,5.322580645
Nov-96,7.433333333
Dec-96,5.387096774
Jan-97,3.096774194
Feb-97,6.785714286
Mar-97,3.774193548
Apr-97,3.2
May-97,4.516129032
Jun-97,3.833333333
Jul-97,4.741935484
Aug-97,4.935483871
Sep-97,5.466666667
Oct-97,6
Nov-97,5.1
Dec-97,5.451612903
Jan-98,5.774193548
Feb-98,3.25
Mar-98,4.838709677
Apr-98,5.633333333
May-98,3.161290323
Jun-98,5.4
Jul-98,3.129032258
Aug-98,5.387096774
Sep-98,7.233333333
Oct-98,6.35483871
Nov-98,7.533333333
Dec-98,6.548387097
Jan-99,7.870967742
Feb-99,7.5
Mar-99,7.096774194
Apr-99,4.7
May-99,3.483870968
Jun-99,4.633333333
Jul-99,5.161290323
Aug-99,6.935483871
Sep-99,6.033333333
Oct-99,4.677419355
Nov-99,4.9
Dec-99,9.580645161
Jan-00,5.483870968
Feb-00,6.689655172
Mar-00,5.838709677
Apr-00,4.8
May-00,4.709677419
Jun-00,4.733333333
Jul-00,9.258064516
Aug-00,8.419354839
Sep-00,8.866666667
Oct-00,8.516129032
Nov-00,8.266666667
Dec-00,7.290322581
Jan-01,8.612903226
Feb-01,8.035714286
Mar-01,8.387096774
Apr-01,7.833333333
May-01,4.451612903
Jun-01,6.4
Jul-01,9.774193548
Aug-01,9.193548387
Sep-01,13.96666667
Oct-01,9.032258065
Nov-01,9.333333333
Dec-01,8.870967742
Jan-02,7.935483871
Feb-02,12.32142857
Mar-02,8.64516129
Apr-02,5.7
May-02,5.64516129
Jun-02,7.066666667
Jul-02,8.193548387
Aug-02,10.67741935
Sep-02,8.033333333
Oct-02,8.774193548
Nov-02,10.7
Dec-02,9.741935484
Jan-03,10.93548387
Feb-03,8.607142857
Mar-03,6.967741935
Apr-03,6.066666667
May-03,6.903225806
Jun-03,6.033333333
Jul-03,7.709677419
Aug-03,8.580645161
Sep-03,8.366666667
Oct-03,8.677419355
Nov-03,8.5
Dec-03,8.806451613
Jan-04,11.61290323
Feb-04,8.24137931
Mar-04,6.483870968
Apr-04,6.266666667
May-04,7.548387097
Jun-04,9.766666667
Jul-04,12.5483871
Aug-04,13.29032258
Sep-04,10.1
Oct-04,9.032258065
Nov-04,9.233333333
Dec-04,9.290322581
Jan-05,7.838709677
Feb-05,9.392857143
Mar-05,6.548387097
Apr-05,5.833333333
May-05,5.806451613
Jun-05,7.266666667
Jul-05,9.677419355
Aug-05,9.580645161
Sep-05,8.233333333
Oct-05,7.967741935
Nov-05,7.566666667
Dec-05,7.258064516
Jan-06,6.290322581
Feb-06,7.678571429
Mar-06,7.032258065
Apr-06,6.7
May-06,7.903225806
Jun-06,7.133333333
Jul-06,9.483870968
Aug-06,11.25806452
Sep-06,5.5
Oct-06,5.774193548
Nov-06,5.866666667
Dec-06,6.387096774
Jan-07,6.193548387
Feb-07,5.857142857
Mar-07,7.064516129
Apr-07,4.133333333
May-07,5.64516129
Jun-07,5.833333333
Jul-07,7.741935484
Aug-07,7.032258065
Sep-07,6.366666667
Oct-07,7.064516129
Nov-07,7.2
Dec-07,8.548387097
Jan-08,7.516129032
Feb-08,6.310344828
Mar-08,10.32258065
Apr-08,5.8
May-08,6.129032258
Jun-08,8.4
Jul-08,7.322580645
Aug-08,7.806451613
Sep-08,5.333333333
Oct-08,6.35483871
Nov-08,6.3
Dec-08,5.548387097
Jan-09,5.677419355
Feb-09,6.071428571
Mar-09,4.838709677
Apr-09,4.5
May-09,5.709677419
Jun-09,6.066666667
Jul-09,9.322580645
Aug-09,8.193548387
Sep-09,7.833333333
Oct-09,7.741935484
Nov-09,7.333333333
Dec-09,6.483870968
Jan-10,4.870967742
Feb-10,6
Mar-10,5.258064516
Apr-10,3.7
May-10,4.032258065
Jun-10,3.166666667
Jul-10,4
Aug-10,5.774193548
Sep-10,4.8
Oct-10,4.741935484
Nov-10,10.03333333
Dec-10,5.838709677
